iter	MAE	RMSE
0	0.01224746666	0.02144056728
200	0.01114221461	0.01732799383
400	0.01031173421	0.01538724807
600	0.009619470504	0.01400653166
800	0.009048320528	0.01295412463
999	0.008519391568	0.01207371219
